,CO
2005-03-01 00:00:00,766.92993
2005-03-01 01:00:00,747.0595
2005-03-01 02:00:00,728.81885
2005-03-01 03:00:00,728.52716
2005-03-01 04:00:00,741.38464
2005-03-01 05:00:00,758.66766
2005-03-01 06:00:00,801.8639
2005-03-01 07:00:00,879.0444
2005-03-01 08:00:00,1030.875
2005-03-01 09:00:00,1056.3285
2005-03-01 10:00:00,1006.9182
2005-03-01 11:00:00,962.13275
2005-03-01 12:00:00,942.9904
2005-03-01 13:00:00,949.9839
2005-03-01 14:00:00,942.67035
2005-03-01 15:00:00,936.53015
2005-03-01 16:00:00,948.77875
2005-03-01 17:00:00,964.745
2005-03-01 18:00:00,997.51465
2005-03-01 19:00:00,1017.5139
2005-03-01 20:00:00,1045.137
2005-03-01 21:00:00,1011.3872
2005-03-01 22:00:00,974.8953
2005-03-01 23:00:00,962.14233
2005-03-02 00:00:00,958.9615
2005-03-02 01:00:00,933.9025
2005-03-02 02:00:00,894.04095
2005-03-02 03:00:00,860.9297
2005-03-02 04:00:00,843.241
2005-03-02 05:00:00,826.574
2005-03-02 06:00:00,864.3062
2005-03-02 07:00:00,983.47125
2005-03-02 08:00:00,1161.6804
2005-03-02 09:00:00,1199.6636
2005-03-02 10:00:00,1135.6123
2005-03-02 11:00:00,1066.2985
2005-03-02 12:00:00,1023.0334
2005-03-02 13:00:00,1029.0677
2005-03-02 14:00:00,1041.1846
2005-03-02 15:00:00,1065.9285
2005-03-02 16:00:00,1092.1057
2005-03-02 17:00:00,1097.8654
2005-03-02 18:00:00,1122.9795
2005-03-02 19:00:00,1133.2625
2005-03-02 20:00:00,1160.0789
2005-03-02 21:00:00,1130.1124
2005-03-02 22:00:00,1103.7594
2005-03-02 23:00:00,1093.6583
2005-03-03 00:00:00,1096.5941
2005-03-03 01:00:00,1081.6791
2005-03-03 02:00:00,1047.232
2005-03-03 03:00:00,1006.44635
2005-03-03 04:00:00,994.51874
2005-03-03 05:00:00,997.8809
2005-03-03 06:00:00,1053.6403
2005-03-03 07:00:00,1178.2451
2005-03-03 08:00:00,1383.0693
2005-03-03 09:00:00,1391.5817
2005-03-03 10:00:00,1302.1957
2005-03-03 11:00:00,1225.962
2005-03-03 12:00:00,1162.6989
2005-03-03 13:00:00,1153.4722
2005-03-03 14:00:00,1175.1174
2005-03-03 15:00:00,1209.0593
2005-03-03 16:00:00,1268.5992
2005-03-03 17:00:00,1309.6108
2005-03-03 18:00:00,1382.3973
2005-03-03 19:00:00,1377.6223
2005-03-03 20:00:00,1342.6931
2005-03-03 21:00:00,1262.1873
2005-03-03 22:00:00,1205.9462
2005-03-03 23:00:00,1191.2982
2005-03-04 00:00:00,1214.0333
2005-03-04 01:00:00,1233.1338
2005-03-04 02:00:00,1200.9954
2005-03-04 03:00:00,1158.718
2005-03-04 04:00:00,1155.8917
2005-03-04 05:00:00,1161.1204
2005-03-04 06:00:00,1210.3668
2005-03-04 07:00:00,1302.1277
2005-03-04 08:00:00,1438.9976
2005-03-04 09:00:00,1420.0099
2005-03-04 10:00:00,1382.7573
2005-03-04 11:00:00,1362.12
2005-03-04 12:00:00,1338.1344
2005-03-04 13:00:00,1354.0868
2005-03-04 14:00:00,1384.0498
2005-03-04 15:00:00,1431.0516
2005-03-04 16:00:00,1489.6053
2005-03-04 17:00:00,1557.2462
2005-03-04 18:00:00,1615.3416
2005-03-04 19:00:00,1599.0369
2005-03-04 20:00:00,1597.8553
2005-03-04 21:00:00,1523.1012
2005-03-04 22:00:00,1452.5138
2005-03-04 23:00:00,1470.771
2005-03-05 00:00:00,1520.068
2005-03-05 01:00:00,1523.53
2005-03-05 02:00:00,1486.7877
2005-03-05 03:00:00,1467.1975
2005-03-05 04:00:00,1438.4132
2005-03-05 05:00:00,1404.2772
2005-03-05 06:00:00,1434.3497
2005-03-05 07:00:00,1517.3561
2005-03-05 08:00:00,1606.0433
2005-03-05 09:00:00,1570.9447
2005-03-05 10:00:00,1526.031
2005-03-05 11:00:00,1504.7792
2005-03-05 12:00:00,1501.4312
2005-03-05 13:00:00,1524.9242
2005-03-05 14:00:00,1546.9081
2005-03-05 15:00:00,1610.9441
2005-03-05 16:00:00,1718.5455
2005-03-05 17:00:00,1796.3766
2005-03-05 18:00:00,1819.6946
2005-03-05 19:00:00,1779.3551
2005-03-05 20:00:00,1677.4064
2005-03-05 21:00:00,1519.1469
2005-03-05 22:00:00,1473.6475
2005-03-05 23:00:00,1529.2678
2005-03-06 00:00:00,1607.7225
2005-03-06 01:00:00,1659.0751
2005-03-06 02:00:00,1650.1775
2005-03-06 03:00:00,1624.8722
2005-03-06 04:00:00,1604.577
2005-03-06 05:00:00,1575.2792
2005-03-06 06:00:00,1585.8473
2005-03-06 07:00:00,1655.5939
2005-03-06 08:00:00,1751.4279
2005-03-06 09:00:00,1748.9272
2005-03-06 10:00:00,1710.4767
2005-03-06 11:00:00,1688.7245
2005-03-06 12:00:00,1677.4915
2005-03-06 13:00:00,1665.8257
2005-03-06 14:00:00,1658.3533
2005-03-06 15:00:00,1696.3782
2005-03-06 16:00:00,1784.2751
2005-03-06 17:00:00,1859.1104
2005-03-06 18:00:00,1879.1564
2005-03-06 19:00:00,1834.7549
2005-03-06 20:00:00,1780.2378
2005-03-06 21:00:00,1700.4293
2005-03-06 22:00:00,1703.3983
2005-03-06 23:00:00,1802.756
2005-03-07 00:00:00,1892.1776
2005-03-07 01:00:00,1906.8192
2005-03-07 02:00:00,1852.6809
2005-03-07 03:00:00,1790.9028
2005-03-07 04:00:00,1733.4242
2005-03-07 05:00:00,1682.1566
2005-03-07 06:00:00,1702.1819
2005-03-07 07:00:00,1787.5005
2005-03-07 08:00:00,1892.6267
2005-03-07 09:00:00,1881.5422
2005-03-07 10:00:00,1808.2823
2005-03-07 11:00:00,1736.0648
2005-03-07 12:00:00,1652.8418
2005-03-07 13:00:00,1554.8958
2005-03-07 14:00:00,1455.758
2005-03-07 15:00:00,1412.475
2005-03-07 16:00:00,1424.0582
2005-03-07 17:00:00,1435.2968
2005-03-07 18:00:00,1439.3796
2005-03-07 19:00:00,1415.1625
2005-03-07 20:00:00,1373.8429
2005-03-07 21:00:00,1316.7488
2005-03-07 22:00:00,1308.1489
2005-03-07 23:00:00,1350.9779
2005-03-08 00:00:00,1363.4967
2005-03-08 01:00:00,1308.2167
2005-03-08 02:00:00,1222.322
2005-03-08 03:00:00,1158.528
2005-03-08 04:00:00,1113.1361
2005-03-08 05:00:00,1079.295
2005-03-08 06:00:00,1092.4313
2005-03-08 07:00:00,1159.5121
2005-03-08 08:00:00,1256.1174
2005-03-08 09:00:00,1271.6539
